order_id,order_date,sales_date,ship_date,ship_mode,outlet_type,year,customer_id,customer_name,date_of_birth,segment,product_id,product_name,category_of_goods,sub_category,location_id,country,region,state,city_type,postal_code,sale_id,sales,quantity,discount,profit
ORD000018,03-03-2022,06-09-2023,06-03-2022,Second Class,Small,2020,CUST000018,Charlene Blair,12-09-1951,Corporate,PROD000018,Mops - 703,Household Items,Mops,13,India,North,Uttar Pradesh,Tier 1,226001,18,3896.21,6,0.23,868.88
ORD000019,01-01-2020,24-08-2019,05-01-2020,Standard Class,Small,2023,CUST000019,Dustin Fuentes,12-08-1964,Consumer,PROD000019,Buckets - 998,Household Items,Buckets,13,India,North,Uttar Pradesh,Tier 1,226001,19,15902.47,2,0.24,2192.64
ORD000020,17-06-2019,27-02-2023,23-06-2019,Second Class,Small,2022,CUST000020,Mary Johnson,25-04-1986,Consumer,PROD000020,Utensils - 520,Household Items,Utensils,46,India,North,West Bengal,Tier 1,700001,20,14846.9,8,0.27,2578.04
ORD000021,26-08-2020,12-04-2021,30-08-2020,Second Class,Large,2022,CUST000021,Christie Pearson,11-10-1965,Corporate,PROD000021,Detergents - 355,Household Items,Detergents,71,India,East,Punjab,Tier 2,160001,21,756.96,6,0.5,61.95
ORD000022,04-11-2019,11-12-2020,11-11-2019,First Class,Medium,2023,CUST000022,Patricia Hicks,04-06-1960,Corporate,PROD000022,Cheese - 717,Dairy Products,Cheese,78,India,North,Rajasthan,Tier 1,302001,22,9172.02,1,0.07,2279.66
ORD000023,03-12-2023,03-06-2021,06-12-2023,Standard Class,Medium,2023,CUST000023,Steven Perkins,12-11-1962,Corporate,PROD000023,Detergents - 234,Household Items,Detergents,37,India,South,Punjab,Tier 2,160001,23,34292.47,3,0.03,9599.41
ORD000024,15-04-2021,26-09-2021,22-04-2021,Second Class,Medium,2021,CUST000024,Robert Nicholson,13-08-2005,Corporate,PROD000024,Pizzas - 503,Fast Food,Pizzas,22,India,East,Rajasthan,Village,302001,24,35973.08,5,0.47,5195.63
ORD000025,07-02-2023,01-10-2022,12-02-2023,First Class,Large,2023,CUST000025,Julie Phillips,15-06-1976,Consumer,PROD000025,Carrots - 967,Sessional Fruits & Vegetables,Carrots,58,India,North,Karnataka,Tier 2,560001,25,44383.63,6,0.43,3482.54
ORD000026,27-04-2019,19-12-2021,01-05-2019,First Class,Large,2019,CUST000026,Michael David,11-12-1956,Consumer,PROD000026,Washing Machines - 786,Electric Appliances,Washing Machines,71,India,East,Punjab,Tier 2,160001,26,4404.37,3,0.47,397.14
ORD000027,20-12-2021,31-12-2019,24-12-2021,Standard Class,Medium,2020,CUST000027,Shelly Thomas,09-06-1972,Corporate,PROD000027,Fans - 604,Electric Appliances,Fans,65,India,East,Uttar Pradesh,Village,226001,27,34934.14,9,0.46,4657.61
ORD000028,06-04-2019,05-11-2021,13-04-2019,Same Day,Medium,2020,CUST000028,Dale Miller,29-09-1987,Consumer,PROD000028,Mops - 802,Household Items,Mops,101,India,North,Madhya Pradesh,Tier 1,462001,28,2361.71,5,0.38,373.96
ORD000029,20-02-2022,26-01-2019,25-02-2022,Same Day,Small,2021,CUST000029,Megan Davis,06-07-2012,Consumer,PROD000029,Detergents - 137,Household Items,Detergents,37,India,South,Punjab,Tier 2,160001,29,24468.77,9,0.3,3914.79
ORD000030,20-05-2019,25-12-2021,27-05-2019,Same Day,Small,2019,CUST000030,Michael Stephenson,22-12-1966,Corporate,PROD000030,Utensils - 709,Household Items,Utensils,42,India,North,Punjab,Village,160001,30,16716.48,2,0.39,1748.93
ORD000031,05-03-2019,13-05-2022,10-03-2019,Same Day,Medium,2020,CUST000031,Natasha Murray,21-04-1967,Consumer,PROD000031,Apples - 653,Sessional Fruits & Vegetables,Apples,54,India,South,Delhi,Tier 2,110001,31,6167.65,3,0.29,583.15
ORD000032,25-05-2023,27-09-2022,28-05-2023,First Class,Large,2021,CUST000032,William Duran,02-09-1972,Consumer,PROD000032,Burgers - 387,Fast Food,Burgers,53,India,South,Maharashtra,Tier 1,400001,32,44969.55,2,0.11,9788.65
ORD000033,10-12-2023,28-05-2020,11-12-2023,Same Day,Medium,2022,CUST000033,Gregg Perkins,25-01-2007,Consumer,PROD000033,Tables - 303,Furniture,Tables,66,India,South,Rajasthan,Village,302001,33,38388.24,2,0.14,3832.45
ORD000034,28-07-2023,13-01-2023,02-08-2023,First Class,Medium,2022,CUST000034,Lori Phillips,03-01-1968,Consumer,PROD000034,Washing Machines - 352,Electric Appliances,Washing Machines,91,India,West,Gujarat,Tier 1,380001,34,4999.82,8,0.36,867.85
ORD000035,27-01-2023,28-03-2019,30-01-2023,Standard Class,Large,2022,CUST000035,Brooke Lowe,20-06-1964,Consumer,PROD000035,Buckets - 271,Household Items,Buckets,10,India,West,Gujarat,Tier 2,380001,35,32193.01,7,0.08,4603.52
ORD000036,02-09-2023,10-10-2022,03-09-2023,Second Class,Small,2023,CUST000036,Kevin Moore,09-11-1960,Corporate,PROD000036,Yogurt - 185,Dairy Products,Yogurt,15,India,North,Gujarat,Village,380001,36,33453.57,8,0.43,5456.87
ORD000037,09-12-2019,19-12-2019,10-12-2019,Second Class,Large,2022,CUST000037,Sandy Miller,26-11-1974,Consumer,PROD000037,Chairs - 859,Furniture,Chairs,26,India,South,Karnataka,Tier 1,560001,37,41830.92,5,0.22,5209.41
ORD000038,20-12-2021,28-12-2023,26-12-2021,Second Class,Medium,2019,CUST000038,Morgan Greene,24-05-2007,Corporate,PROD000038,Buckets - 597,Household Items,Buckets,81,India,South,Karnataka,Village,560001,38,31602.21,3,0.49,2620.14
ORD000039,25-02-2021,21-04-2023,27-02-2021,Standard Class,Medium,2019,CUST000039,Kevin Terrell,12-03-1950,Consumer,PROD000039,Fans - 681,Electric Appliances,Fans,13,India,North,Uttar Pradesh,Tier 1,226001,39,7903.34,3,0.06,1187.42
ORD000040,23-09-2021,19-05-2020,29-09-2021,First Class,Large,2021,CUST000040,Jeanne Gonzales,28-08-1998,Corporate,PROD000040,Mops - 154,Household Items,Mops,120,India,South,Gujarat,Village,380001,40,23667.32,2,0.07,3631.17
ORD000041,09-02-2023,17-04-2022,15-02-2023,Same Day,Large,2023,CUST000041,Kayla Rivera,01-11-1961,Corporate,PROD000041,Chairs - 420,Furniture,Chairs,34,India,North,Punjab,Tier 2,160001,41,39762.15,10,0.03,6437.84
ORD000042,21-03-2019,17-05-2019,22-03-2019,Second Class,Medium,2021,CUST000042,Michelle Green,02-09-1982,Consumer,PROD000042,Cheese - 499,Dairy Products,Cheese,19,India,North,Punjab,Tier 1,160001,42,10843.03,7,0.08,2550.74
ORD000043,15-07-2022,14-12-2022,20-07-2022,Standard Class,Small,2021,CUST000043,Timothy Morrow,23-09-1983,Consumer,PROD000043,Sandwiches - 116,Fast Food,Sandwiches,33,India,South,Delhi,Tier 1,110001,43,35014.14,8,0.19,6929.86
ORD000044,21-10-2021,18-08-2019,27-10-2021,First Class,Medium,2020,CUST000044,Richard Simmons,20-04-2007,Corporate,PROD000044,Yogurt - 508,Dairy Products,Yogurt,58,India,North,Karnataka,Tier 2,560001,44,49912.22,3,0,7076.5
ORD000045,25-11-2021,31-10-2020,27-11-2021,First Class,Small,2023,CUST000045,Joseph Jones,07-05-1963,Consumer,PROD000045,Pizzas - 959,Fast Food,Pizzas,1,India,East,Tamil Nadu,Tier 2,600001,45,11595.62,6,0.02,1819.63
ORD000046,16-08-2023,05-07-2019,23-08-2023,First Class,Medium,2019,CUST000046,Joshua Welch,08-05-2003,Consumer,PROD000046,Refrigerators - 446,Electric Appliances,Refrigerators,117,India,North,Karnataka,Village,560001,46,40938.72,7,0.32,4902.81
ORD000047,25-11-2019,10-06-2021,27-11-2019,Standard Class,Small,2023,CUST000047,Victoria Lang,06-07-1951,Corporate,PROD000047,Mangoes - 601,Sessional Fruits & Vegetables,Mangoes,108,India,West,Rajasthan,Tier 2,302001,47,43356.81,10,0.14,6415
ORD000048,12-02-2020,29-05-2023,18-02-2020,Same Day,Small,2019,CUST000048,Amy Armstrong,14-03-1966,Consumer,PROD000048,Butter - 376,Dairy Products,Butter,103,India,East,West Bengal,Village,700001,48,37449.42,1,0.4,5330.17
ORD000049,07-07-2021,09-12-2022,12-07-2021,First Class,Large,2022,CUST000049,Amber Ramirez,25-04-1979,Consumer,PROD000049,Washing Machines - 314,Electric Appliances,Washing Machines,5,India,North,West Bengal,Village,700001,49,378.65,6,0.44,30.32
ORD000050,20-01-2020,18-09-2019,23-01-2020,Standard Class,Small,2021,CUST000050,Patrick Hickman,30-01-2012,Corporate,PROD000050,Detergents - 724,Household Items,Detergents,25,India,West,Karnataka,Village,560001,50,4596.06,1,0.09,566.91
ORD000051,20-05-2020,03-06-2023,23-05-2020,Second Class,Large,2019,CUST000051,Misty Fletcher,30-10-1956,Consumer,PROD000051,Utensils - 165,Household Items,Utensils,30,India,East,Rajasthan,Tier 1,302001,51,15945.03,9,0.41,2139.78
ORD000052,14-02-2020,26-02-2022,20-02-2020,Same Day,Small,2021,CUST000052,Michelle Lozano,20-07-1971,Corporate,PROD000052,Buckets - 443,Household Items,Buckets,65,India,East,Uttar Pradesh,Village,226001,52,45056.72,5,0.25,4495.91
ORD000053,13-03-2019,15-01-2021,15-03-2019,Standard Class,Small,2023,CUST000053,Kristen Yang,06-07-1981,Consumer,PROD000053,Yogurt - 729,Dairy Products,Yogurt,100,India,East,Rajasthan,Tier 2,302001,53,14187.47,8,0.17,3102.02
ORD000054,20-06-2023,10-01-2022,23-06-2023,Standard Class,Large,2019,CUST000054,Michael Ortega,19-09-2003,Corporate,PROD000054,Mangoes - 152,Sessional Fruits & Vegetables,Mangoes,108,India,West,Rajasthan,Tier 2,302001,54,3119.4,9,0.1,399.27
ORD000055,07-10-2020,16-03-2019,08-10-2020,Standard Class,Large,2022,CUST000055,Nancy Wilson,19-10-1974,Corporate,PROD000055,Buckets - 259,Household Items,Buckets,24,India,West,Rajasthan,Tier 1,302001,55,5552.12,1,0.17,601.64
ORD000056,22-03-2022,08-04-2023,28-03-2022,Same Day,Small,2022,CUST000056,Jay Bell,18-06-1983,Corporate,PROD000056,Washing Machines - 208,Electric Appliances,Washing Machines,106,India,East,Karnataka,Village,560001,56,46089.88,3,0.32,3186.9
ORD000057,09-11-2021,13-08-2021,12-11-2021,Same Day,Medium,2022,CUST000057,John Miles,14-03-1999,Consumer,PROD000057,Cheese - 104,Dairy Products,Cheese,59,India,South,Karnataka,Tier 2,560001,57,41202.61,3,0.38,3039.9
ORD000058,26-06-2019,28-12-2019,30-06-2019,Standard Class,Small,2019,CUST000058,Courtney Mejia,14-09-1958,Consumer,PROD000058,Washing Machines - 479,Electric Appliances,Washing Machines,115,India,East,Punjab,Village,160001,58,35606.55,4,0.42,3162.47
ORD000059,04-05-2021,29-11-2021,10-05-2021,First Class,Large,2020,CUST000059,Sharon Gonzalez,08-03-2001,Corporate,PROD000059,Cheese - 151,Dairy Products,Cheese,5,India,North,West Bengal,Village,700001,59,25717.31,7,0.08,4469.55
ORD000060,06-08-2020,17-10-2023,08-08-2020,First Class,Medium,2022,CUST000060,Thomas Hill,23-02-1962,Corporate,PROD000060,Milk - 931,Dairy Products,Milk,83,India,North,Gujarat,Tier 2,380001,60,18052.48,2,0.35,1386.25
ORD000061,01-08-2019,17-08-2020,02-08-2019,Second Class,Large,2023,CUST000061,Jeffrey Lopez,15-10-2000,Corporate,PROD000061,Tables - 189,Furniture,Tables,46,India,North,West Bengal,Tier 1,700001,61,24074.86,1,0.14,4149.35
ORD000062,12-05-2020,17-02-2023,19-05-2020,Same Day,Large,2021,CUST000062,Chad Holmes,10-03-1981,Consumer,PROD000062,Yogurt - 255,Dairy Products,Yogurt,73,India,East,Gujarat,Tier 1,380001,62,17103.72,10,0.35,1522.18
ORD000063,15-07-2023,07-01-2022,17-07-2023,Standard Class,Large,2021,CUST000063,Laura Koch,15-06-1999,Corporate,PROD000063,Mangoes - 242,Sessional Fruits & Vegetables,Mangoes,14,India,South,West Bengal,Tier 1,700001,63,33223,2,0.47,4928.08
ORD000064,09-06-2020,25-11-2023,13-06-2020,First Class,Large,2021,CUST000064,Laura Johnson,06-04-1961,Consumer,PROD000064,Microwaves - 604,Electric Appliances,Microwaves,11,India,South,Madhya Pradesh,Village,462001,64,5549.65,3,0.29,563.06
ORD000065,19-04-2022,04-09-2021,23-04-2022,First Class,Medium,2023,CUST000065,Daniel Clark,02-04-1973,Consumer,PROD000065,Sofas - 774,Furniture,Sofas,55,India,West,Punjab,Village,160001,65,1941.21,7,0.24,303.42
ORD000066,22-07-2020,23-10-2019,23-07-2020,Same Day,Large,2022,CUST000066,Katherine Clark,13-07-1966,Consumer,PROD000066,Utensils - 909,Household Items,Utensils,111,India,North,Maharashtra,Tier 2,400001,66,5961.75,10,0.47,403.06
ORD000067,05-01-2019,10-09-2019,10-01-2019,First Class,Large,2022,CUST000067,Dustin Bryant,14-05-1981,Corporate,PROD000067,Fans - 477,Electric Appliances,Fans,2,India,West,Madhya Pradesh,Village,462001,67,15033.44,3,0.15,2058.14
ORD000068,07-09-2021,31-08-2022,14-09-2021,Second Class,Medium,2022,CUST000068,Victor Hall,09-02-2009,Consumer,PROD000068,Fans - 691,Electric Appliances,Fans,65,India,East,Uttar Pradesh,Village,226001,68,21552.93,5,0.37,1492.29
ORD000069,01-05-2023,16-12-2023,08-05-2023,First Class,Medium,2021,CUST000069,Rebecca Lawrence,14-05-2005,Corporate,PROD000069,Cheese - 211,Dairy Products,Cheese,70,India,North,Uttar Pradesh,Tier 2,226001,69,4878.15,7,0.31,468.53
ORD000070,07-06-2022,30-08-2019,10-06-2022,Same Day,Medium,2020,CUST000070,Kara Galvan,20-03-1970,Corporate,PROD000070,Milk - 150,Dairy Products,Milk,39,India,East,Karnataka,Tier 2,560001,70,46801.69,10,0.45,6319.46
ORD000071,06-08-2023,17-02-2023,08-08-2023,Second Class,Small,2019,CUST000071,Anthony Fox,01-11-1994,Corporate,PROD000071,Fries - 887,Fast Food,Fries,69,India,North,Madhya Pradesh,Village,462001,71,22971.7,1,0.29,3182.37
ORD000072,21-05-2021,10-05-2020,26-05-2021,Standard Class,Medium,2021,CUST000072,Teresa Adams,04-11-1954,Corporate,PROD000072,Tomatoes - 186,Sessional Fruits & Vegetables,Tomatoes,63,India,West,Maharashtra,Tier 1,400001,72,49342.22,10,0.29,7270.12
ORD000073,12-01-2022,21-06-2022,13-01-2022,Standard Class,Large,2019,CUST000073,Evelyn Parker,16-10-1978,Corporate,PROD000073,Pizzas - 144,Fast Food,Pizzas,59,India,South,Karnataka,Tier 2,560001,73,4357.85,4,0.38,299.28
ORD000074,20-11-2023,11-06-2023,23-11-2023,Same Day,Small,2021,CUST000074,Elizabeth Hammond,13-10-1988,Corporate,PROD000074,Fans - 113,Electric Appliances,Fans,63,India,West,Maharashtra,Tier 1,400001,74,37866.05,1,0.07,9406.68
ORD000075,24-09-2022,19-05-2021,30-09-2022,First Class,Large,2021,CUST000075,Denise Lynch,24-02-1958,Consumer,PROD000075,Fries - 353,Fast Food,Fries,102,India,South,Tamil Nadu,Tier 2,600001,75,10613.65,6,0.04,2632.64
ORD000076,14-12-2021,24-02-2021,21-12-2021,Same Day,Small,2022,CUST000076,Carrie Nguyen,03-12-1988,Corporate,PROD000076,Fans - 994,Electric Appliances,Fans,114,India,West,Madhya Pradesh,Tier 1,462001,76,34132.43,6,0.04,8067.39
ORD000077,09-01-2023,13-03-2020,12-01-2023,Standard Class,Medium,2021,CUST000077,Danielle Ramirez,27-12-1995,Consumer,PROD000077,Butter - 442,Dairy Products,Butter,113,India,West,Rajasthan,Village,302001,77,32935.9,8,0.38,5988.54
ORD000078,11-12-2021,15-03-2022,14-12-2021,First Class,Small,2020,CUST000078,Jennifer Cox,22-11-1980,Corporate,PROD000078,Pizzas - 609,Fast Food,Pizzas,21,India,West,Uttar Pradesh,Tier 2,226001,78,22501.5,9,0.49,2189.44
ORD000079,17-06-2019,27-07-2019,24-06-2019,Standard Class,Large,2021,CUST000079,Anita Smith,15-12-2005,Corporate,PROD000079,Cheese - 516,Dairy Products,Cheese,61,India,West,Tamil Nadu,Tier 1,600001,79,4064.52,10,0.31,369.06
ORD000080,21-06-2020,18-06-2019,27-06-2020,Second Class,Small,2019,CUST000080,John Williams,03-04-1954,Corporate,PROD000080,Tables - 457,Furniture,Tables,58,India,North,Karnataka,Tier 2,560001,80,19218.16,3,0.22,2588.25
ORD000081,30-05-2021,05-09-2023,04-06-2021,First Class,Large,2020,CUST000081,Karen Browning,23-06-1989,Corporate,PROD000081,Yogurt - 526,Dairy Products,Yogurt,85,India,North,West Bengal,Tier 2,700001,81,21489.08,2,0.25,2286.15
ORD000082,02-12-2022,01-12-2022,09-12-2022,Second Class,Large,2022,CUST000082,Kathryn Lee,02-03-2009,Consumer,PROD000082,Microwaves - 404,Electric Appliances,Microwaves,20,India,East,Gujarat,Village,380001,82,2183.3,3,0.49,205.17
ORD000083,15-01-2023,22-12-2022,21-01-2023,Standard Class,Large,2020,CUST000083,John May,09-10-1957,Corporate,PROD000083,Burgers - 865,Fast Food,Burgers,76,India,West,Punjab,Tier 1,160001,83,4252.58,2,0.04,830.09
ORD000084,15-03-2020,04-05-2019,18-03-2020,Standard Class,Large,2021,CUST000084,Michael King,16-04-1989,Consumer,PROD000084,Refrigerators - 530,Electric Appliances,Refrigerators,54,India,South,Delhi,Tier 2,110001,84,12502.21,10,0.49,1738.42
ORD000085,20-02-2019,23-07-2019,24-02-2019,Standard Class,Medium,2020,CUST000085,Jessica Ruiz,17-08-1981,Consumer,PROD000085,Utensils - 513,Household Items,Utensils,90,India,East,Maharashtra,Tier 2,400001,85,44441.84,5,0.5,4751.11
ORD000086,21-08-2021,25-05-2021,27-08-2021,Standard Class,Small,2021,CUST000086,Carlos Moore,19-09-2007,Corporate,PROD000086,Yogurt - 943,Dairy Products,Yogurt,65,India,East,Uttar Pradesh,Village,226001,86,2951.07,8,0.37,504.53
ORD000087,09-07-2021,10-12-2023,15-07-2021,Second Class,Small,2023,CUST000087,Tiffany Bautista,03-10-2003,Corporate,PROD000087,Yogurt - 154,Dairy Products,Yogurt,61,India,West,Tamil Nadu,Tier 1,600001,87,33732.85,7,0.3,5107.71
ORD000177,14-04-2022,24-11-2022,19-04-2022,Standard Class,Large,2022,CUST000177,Harold Hanson,26-02-1998,Consumer,PROD000177,Fries - 951,Fast Food,Fries,83,India,North,Gujarat,Tier 2,380001,177,32278.59,1,0.02,4702.26
ORD000178,25-07-2023,24-02-2019,31-07-2023,Same Day,Small,2022,CUST000178,Dominique Williams,08-03-2017,Consumer,PROD000178,Utensils - 875,Household Items,Utensils,114,India,West,Madhya Pradesh,Tier 1,462001,178,36785.5,4,0.45,5709.43
ORD000179,02-01-2022,30-06-2023,08-01-2022,Standard Class,Large,2020,CUST000179,Holly Prince,11-12-1959,Corporate,PROD000179,Chairs - 719,Furniture,Chairs,87,India,East,West Bengal,Tier 1,700001,179,36436.9,7,0.46,2689.11
ORD000180,17-03-2022,19-02-2019,22-03-2022,Second Class,Medium,2020,CUST000180,Donald Russell,20-04-2008,Consumer,PROD000180,Mops - 653,Household Items,Mops,39,India,East,Karnataka,Tier 2,560001,180,37866.82,3,0.45,6119.52
ORD000181,17-01-2023,31-07-2020,18-01-2023,Same Day,Small,2020,CUST000181,Gerald Welch,12-05-1959,Consumer,PROD000181,Apples - 351,Sessional Fruits & Vegetables,Apples,112,India,North,Delhi,Village,110001,181,37390.63,4,0.04,10260.31
ORD000182,22-11-2023,15-09-2021,23-11-2023,Standard Class,Small,2023,CUST000182,Connie Smith,13-01-1962,Corporate,PROD000182,Butter - 865,Dairy Products,Butter,24,India,West,Rajasthan,Tier 1,302001,182,21275.13,1,0.24,3138.95
ORD000183,12-04-2019,09-12-2021,16-04-2019,Second Class,Large,2023,CUST000183,Sean Tucker,07-09-1958,Corporate,PROD000183,Yogurt - 548,Dairy Products,Yogurt,77,India,East,Uttar Pradesh,Tier 2,226001,183,14971.65,10,0.1,1597.53
ORD000184,26-06-2020,08-07-2020,01-07-2020,First Class,Small,2019,CUST000184,Douglas West,08-04-1995,Consumer,PROD000184,Butter - 270,Dairy Products,Butter,97,India,West,Karnataka,Tier 1,560001,184,11013.05,5,0.22,1052.08
ORD000185,19-08-2021,06-11-2021,22-08-2021,First Class,Medium,2021,CUST000185,Cynthia Nguyen,28-02-1987,Consumer,PROD000185,Fans - 783,Electric Appliances,Fans,87,India,East,West Bengal,Tier 1,700001,185,30336.31,5,0.02,5036.71
ORD000186,18-01-2020,04-10-2022,20-01-2020,Second Class,Medium,2019,CUST000186,Andres Obrien,28-10-1951,Consumer,PROD000186,Buckets - 701,Household Items,Buckets,96,India,South,Tamil Nadu,Tier 1,600001,186,37770.09,3,0.3,7260.82
ORD000187,03-04-2023,01-04-2020,10-04-2023,Second Class,Medium,2019,CUST000187,Sarah Lewis,27-03-1950,Consumer,PROD000187,Refrigerators - 375,Electric Appliances,Refrigerators,2,India,West,Madhya Pradesh,Village,462001,187,44988.87,10,0.38,4819.17
ORD000188,01-10-2019,28-01-2019,04-10-2019,First Class,Small,2020,CUST000188,Debra Barajas,27-12-2012,Consumer,PROD000188,Sandwiches - 883,Fast Food,Sandwiches,22,India,East,Rajasthan,Village,302001,188,34227.12,2,0.31,5196.62
ORD000189,17-09-2020,16-10-2019,18-09-2020,First Class,Large,2019,CUST000189,Justin Rodriguez,29-09-2008,Corporate,PROD000189,Sandwiches - 223,Fast Food,Sandwiches,98,India,South,Delhi,Village,110001,189,44830.29,1,0.3,4678.01
ORD000190,24-04-2021,11-08-2023,25-04-2021,Second Class,Small,2021,CUST000190,Joshua Miller,16-06-1985,Consumer,PROD000190,Beds - 105,Furniture,Beds,59,India,South,Karnataka,Tier 2,560001,190,33501.11,10,0.41,2680.21
ORD000191,06-03-2019,19-03-2023,09-03-2019,Same Day,Large,2023,CUST000191,Amanda Burns,20-04-2008,Corporate,PROD000191,Burgers - 746,Fast Food,Burgers,49,India,West,Maharashtra,Tier 2,400001,191,8040.66,9,0.49,1068.9
ORD000192,16-12-2022,09-04-2021,18-12-2022,Second Class,Large,2023,CUST000192,Karen Combs,05-04-2014,Corporate,PROD000192,Buckets - 288,Household Items,Buckets,106,India,East,Karnataka,Village,560001,192,7410.53,1,0.46,443.88
ORD000193,25-09-2020,09-10-2022,02-10-2020,Second Class,Medium,2019,CUST000193,Tiffany Kennedy,03-02-1985,Consumer,PROD000193,Refrigerators - 833,Electric Appliances,Refrigerators,110,India,East,Tamil Nadu,Village,600001,193,15340.33,7,0.11,2650.55
ORD000194,14-12-2020,03-07-2019,17-12-2020,Second Class,Medium,2021,CUST000194,Pamela Blake,25-05-1966,Corporate,PROD000194,Chairs - 399,Furniture,Chairs,76,India,West,Punjab,Tier 1,160001,194,49187.75,9,0.11,8137.07
ORD000195,27-01-2021,29-10-2019,30-01-2021,Same Day,Small,2019,CUST000195,Janet Yates,19-05-2006,Consumer,PROD000195,Cheese - 237,Dairy Products,Cheese,90,India,East,Maharashtra,Tier 2,400001,195,41845.8,2,0.3,8634.98
